mes,Alto Extremadura,Arturo Soria,Avda de Moratalaz,Barajas Pueblo,Barrio del Pilar,Campo de las Naciones,Carlos V,Casa de Campo,Castellana,Cuatro Caminos,Cuatro Vientos,El Pardo,Embajada,Ensanche de Vallecas,Escuelas Aguirre,Farolillo,Glorieta Fdez. Ladreda,Gregorio Marañón,Méndez Álvaro,Paseo de Recoletos,Plaza Manuel Becerra,Plaza de España,Plaza del Carmen,Pza de Castilla,Ramón y Cajal,Sanchinarro,Santa Eugenia,Tres Olivos,Urbanización Embajada II,Vallecas,Villaverde
2022-01-01,55.2,52.2,55.7,52.5,57.2,55.8,66.4,43.9,57.4,59.0,61.2,48.8,57.7,56.614285714285714,61.64,48.5,60.2,64.8,47.4,60.1,59.3,58.94482758620689,56.4,62.4,63.44,52.7,67.5,49.0,51.3,52.9,51.5
2022-02-01,55.1,52.7,55.9,52.8,57.3,56.0,66.6,43.2,57.95,59.6,61.7,49.4,58.0,56.957142857142856,61.52,49.1,60.7,65.0,48.3,60.4,59.7,58.89655172413793,58.3,62.7,63.37,53.4,67.4,49.8,51.9,53.5,52.3
2022-03-01,55.8,54.3,56.6,53.2,57.8,57.7,66.9,44.3,58.5,60.1,62.0,50.2,59.2,57.3,61.4,49.8,61.1,65.7,48.8,61.3,60.1,58.84827586206896,57.6,63.2,63.3,53.9,68.6,51.2,52.6,53.9,52.5
2022-04-01,53.2,53.0,56.0,53.2,56.8,56.5,66.4,45.5,57.1,59.0,60.4,50.0,58.3,56.4,60.5,50.0,60.4,64.7,49.2,60.1,59.5,58.8,58.1,62.1,62.0,53.0,67.3,50.5,51.6,53.9,52.7
2022-05-01,55.0,51.9,56.3,53.4,56.8,56.2,66.0,44.7,56.3,58.7,60.2,50.7,57.5,56.4,60.2,50.8,60.3,64.4,50.5,59.9,59.5,58.3,58.7,61.9,61.8,52.2,66.3,51.1,51.0,54.0,53.8
2022-06-01,55.0,52.4,55.8,52.5,57.1,56.2,65.9,45.5,56.3,58.8,61.0,51.6,57.6,56.5,60.6,50.2,60.8,64.1,50.9,60.0,59.5,58.7,58.9,62.2,61.6,52.7,66.0,50.9,50.9,54.5,54.9
2022-07-01,53.4,52.96666666666667,54.6,52.6,56.7,56.0,65.6,45.8,55.8,57.5,60.1,51.0,57.8,56.1,60.6,50.3,60.5,63.5,49.0,59.9,58.8,59.2,58.3,61.7,63.2,51.5,66.3,49.4,51.1,53.6,54.1
2022-08-01,51.9,53.53333333333333,53.8,51.4,56.3,55.5,64.9,44.7,54.6,55.6,56.3,47.4,57.2,54.9,60.7,49.1,59.7,62.4,47.1,58.3,57.9,58.5,57.0,60.5,61.2,49.8,66.1,44.4,49.3,52.5,51.6
2022-09-01,54.0,54.1,55.2,53.0,57.3,56.9,66.3,44.8,56.7,58.8,56.7,49.9,58.6,56.7,62.3,49.9,60.2,64.5,48.6,60.2,59.5,59.2,58.3,62.3,65.5,52.5,66.9,48.3,50.1,53.6,52.4
2022-10-01,54.0,54.5,55.7,53.3,58.4,57.0,65.1,45.6,57.0,58.3,57.0,48.8,59.4,57.4,62.4,49.3,60.3,64.8,48.2,60.5,59.0,59.8,58.2,62.6,65.7,53.0,67.6,47.9,50.5,53.0,51.0
2022-11-01,55.2,56.0,56.1,53.7,57.7,56.4,64.6,45.9,58.0,59.2,58.7,49.6,60.3,58.4,63.2,49.4,60.9,65.6,48.1,61.3,59.5,59.8,57.9,63.4,66.7,54.9,68.7,49.6,50.2,54.0,51.3
2022-12-01,55.3,56.3,56.2,52.7,57.8,55.9,65.0,47.0,58.6,59.0,58.8,49.9,60.7,58.5,63.6,49.3,61.4,66.1,48.1,61.3,59.5,60.6,57.5,63.6,66.2,54.7,69.4,48.8,50.3,53.4,50.1
2023-01-01,55.0,55.1,55.8,54.3,57.6,54.9,63.5,46.1,57.8,58.7,57.9,50.6,59.7,58.5,62.6,48.5,60.6,65.3,47.4,61.4,58.9,59.3,56.5,63.2,65.1,54.9,68.2,48.5,50.5,52.5,50.2
2023-02-01,54.4,54.7,55.5,53.7,57.6,54.8,63.4,44.7,57.3,58.4,57.1,50.1,59.4,58.3,62.2,49.4,60.2,65.1,47.2,61.1,58.5,59.4,58.0,62.8,65.1,53.5,68.4,48.2,50.5,51.8,50.2
